Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Luxembourg,LUX,108526.374
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Macao SAR, China",MAC,79747.45748
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Madagascar,MDG,488.9395504
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malawi,MWI,401.3926721
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malaysia,MYS,11414.5787
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Maldives,MDV,10197.09284
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mali,MLI,815.3790987
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malta,MLT,27489.4212
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Marshall Islands,MHL,3612.602269
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritania,MRT,1620.994996
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritius,MUS,10643.77108
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mexico,MEX,9820.448553
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Micronesia, Fed. Sts.",FSM,2921.145867
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Moldova,MDA,3435.477444
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Monaco,MCO,181709.3436
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mongolia,MNG,4394.988134
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Montenegro,MNE,7680.74113
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Morocco,MAR,3044.906231
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mozambique,MOZ,598.8133059
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Myanmar,MMR,1548.45663
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Namibia,NAM,4506.173928
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nauru,NRU,8325.901748
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nepal,NPL,1069.789098
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Netherlands,NLD,48424.25384
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Caledonia,NCL,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Zealand,NZL,40315.47098
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nicaragua,NIC,1984.816775
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Niger,NER,523.8842345
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nigeria,NGA,2502.652281
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,North Macedonia,MKD,5386.200325
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Northern Mariana Islands,MNP,18141.88235
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Oman,OMN,16694.13227
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Pakistan,PAK,1489.653604
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Palau,PLW,14754.604
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Panama,PAN,15073.00076
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Papua New Guinea,PNG,2816.718774
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Paraguay,PRY,5774.16616
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Peru,PER,6611.492764
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Philippines,PHL,3664.79067
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Poland,POL,15016.6733
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Portugal,PRT,21608.71971
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Puerto Rico,PRI,30191.93182
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Qatar,QAT,59098.52871
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Romania,ROU,11221.70839
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,9942.374057
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Rwanda,RWA,885.5996116
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Samoa,WSM,4502.926351
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,San Marino,SMR,44709.45877
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sao Tome and Principe,STP,1672.896155
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saudi Arabia,SAU,19801.87422
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Senegal,SEN,1381.601793
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Serbia,SRB,6567.909564
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Seychelles,SYC,15913.94973
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sierra Leone,SLE,649.7603019
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Singapore,SGP,61173.90477
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sint Maarten (Dutch part),SXM,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovak Republic,SVK,18160.17889
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovenia,SVN,24061.60388
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Solomon Islands,SLB,2289.586843
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Somalia,SOM,446.8542142
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Africa,ZAF,6125.735325
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Sudan,SSD,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Spain,ESP,28091.01233
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sri Lanka,LKA,4225.106303
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Kitts and Nevis,KNA,21516.79858
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Lucia,LCA,10914.50269
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Martin (French part),MAF,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Vincent and the Grenadines,VCT,7219.892022
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sudan,SDN,1198.517867
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Suriname,SUR,9035.197014
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sweden,SWE,53490.35182
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Switzerland,CHE,88413.19171
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Syrian Arab Republic,SYR,952.8848807
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tajikistan,TJK,1174.091716
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tanzania,TZA,1071.350062
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Thailand,THA,6617.542822
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Timor-Leste,TLS,1466.814821
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Togo,TGO,630.7905096
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tonga,TON,4652.588587
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Trinidad and Tobago,TTO,16192.3235
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tunisia,TUN,4206.954025
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkey,TUR,11955.43346
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkmenistan,TKM,7692.578707
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turks and Caicos Islands,TCA,28693.0629
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tuvalu,TUV,3674.354085
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uganda,UGA,894.5203669
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ukraine,UKR,2425.634642
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Arab Emirates,ARE,40438.33852
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,47750.87966
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uruguay,URY,16036.2964
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uzbekistan,UZB,3161.415381
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Vanuatu,VUT,2900.488144
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Venezuela, RB",VEN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Vietnam,VNM,2604.224166
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Virgin Islands (U.S.),VIR,35961.58077
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,West Bank and Gaza,PSE,3378.434621
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Yemen, Rep.",YEM,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Zambia,ZMB,1348.738357
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Zimbabwe,ZWE,1414.829099
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/08/2022,,,,
