INTL.37-12-AUS-BKWH.A,                Wind (billion kWh),17.712
INTL.38-12-AUS-BKWH.A,                Biomass and waste (billion kWh),3.496
INTL.82-12-AUS-BKWH.A,        Hydroelectric pumped storage (billion kWh),-0.256
,Austria,
INTL.2-12-AUT-BKWH.A,    Generation (billion kWh),68.67575
INTL.29-12-AUT-BKWH.A,        Renewables (billion kWh),55.14875
INTL.33-12-AUT-BKWH.A,            Hydroelectricity (billion kWh),40.43655
INTL.34-12-AUT-BKWH.A,            Non-hydroelectric renewables (billion kWh),14.7122
INTL.35-12-AUT-BKWH.A,                Geothermal (billion kWh),0.0002
INTL.36-12-AUT-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",1.702
INTL.117-12-AUT-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-AUT-BKWH.A,                    Solar (billion kWh),1.702
INTL.37-12-AUT-BKWH.A,                Wind (billion kWh),7.477
INTL.38-12-AUT-BKWH.A,                Biomass and waste (billion kWh),5.533
INTL.82-12-AUT-BKWH.A,        Hydroelectric pumped storage (billion kWh),-1.487
,Azerbaijan,
INTL.2-12-AZE-BKWH.A,    Generation (billion kWh),24.60663
INTL.29-12-AZE-BKWH.A,        Renewables (billion kWh),1.89435
INTL.33-12-AZE-BKWH.A,            Hydroelectricity (billion kWh),1.54935
INTL.34-12-AZE-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.345
INTL.35-12-AZE-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-AZE-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.044
INTL.117-12-AZE-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-AZE-BKWH.A,                    Solar (billion kWh),0.044
INTL.37-12-AZE-BKWH.A,                Wind (billion kWh),0.105
INTL.38-12-AZE-BKWH.A,                Biomass and waste (billion kWh),0.196
INTL.82-12-AZE-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bahrain,
INTL.2-12-BHR-BKWH.A,    Generation (billion kWh),31.44425
INTL.29-12-BHR-BKWH.A,        Renewables (billion kWh),0.00925
INTL.33-12-BHR-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-BHR-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.00925
INTL.35-12-BHR-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BHR-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.00825
INTL.117-12-BHR-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BHR-BKWH.A,                    Solar (billion kWh),0.00825
INTL.37-12-BHR-BKWH.A,                Wind (billion kWh),0.001
INTL.38-12-BHR-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BHR-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bangladesh,
INTL.2-12-BGD-BKWH.A,    Generation (billion kWh),79.600877
INTL.29-12-BGD-BKWH.A,        Renewables (billion kWh),1.198877
INTL.33-12-BGD-BKWH.A,            Hydroelectricity (billion kWh),0.82
INTL.34-12-BGD-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.378877
INTL.35-12-BGD-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BGD-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.37
INTL.117-12-BGD-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BGD-BKWH.A,                    Solar (billion kWh),0.37
INTL.37-12-BGD-BKWH.A,                Wind (billion kWh),0.006
INTL.38-12-BGD-BKWH.A,                Biomass and waste (billion kWh),0.002877
INTL.82-12-BGD-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Barbados,
INTL.2-12-BRB-BKWH.A,    Generation (billion kWh),1.02
INTL.29-12-BRB-BKWH.A,        Renewables (billion kWh),0.04
INTL.33-12-BRB-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-BRB-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.04
INTL.35-12-BRB-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BRB-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.04
INTL.117-12-BRB-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BRB-BKWH.A,                    Solar (billion kWh),0.04
INTL.37-12-BRB-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BRB-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BRB-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Belarus,
INTL.2-12-BLR-BKWH.A,    Generation (billion kWh),37.7155
INTL.29-12-BLR-BKWH.A,        Renewables (billion kWh),1.03952
INTL.33-12-BLR-BKWH.A,            Hydroelectricity (billion kWh),0.34452
INTL.34-12-BLR-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.695
